employee_id,first_name,last_name,email,role,warehouse_id,shift,hire_date,hourly_rate,is_active,_ingested_at
EMP-00172,Franklin,Carter,nicholas79@dixon.com,Warehouse Associate,WH-CEN-10,NIGHT,2022-04-14,19.18,True,2026-04-30T04:36:50.726872
EMP-00173,Katherine,Kemp,cdelacruz@ellis-bradford.com,Forklift Operator,WH-WES-07,AFTERNOON,2022-07-24,24.63,True,2026-04-30T04:36:50.726872
EMP-00174,Phillip,Smith,josephkey@smith-lee.net,Warehouse Associate,WH-EAS-02,MORNING,2024-12-22,23.85,True,2026-04-30T04:36:50.726872
EMP-00175,Eric,Soto,ychapman@williams.com,Packer,WH-SOU-09,AFTERNOON,2024-09-11,37.14,True,2026-04-30T04:36:50.726872
EMP-00176,Steven,Flores,robertskeith@lee.com,QA Inspector,WH-CEN-10,AFTERNOON,2024-10-20,18.07,True,2026-04-30T04:36:50.726872
EMP-00177,Sean,Cook,lauriemyers@hobbs.com,Picker,WH-CEN-08,NIGHT,2021-09-02,28.9,True,2026-04-30T04:36:50.726872
EMP-00178,Diana,English,natashaburke@carter.com,Dock Supervisor,WH-EAS-02,MORNING,2021-01-17,22.96,True,2026-04-30T04:36:50.726872
EMP-00179,Kylie,Hill,mark79@carlson.com,Shipping Clerk,WH-WES-07,NIGHT,2023-09-27,30.47,False,2026-04-30T04:36:50.726872
EMP-00180,Paul,Christian,panderson@james.biz,QA Inspector,WH-NOR-04,MORNING,2023-04-16,32.8,True,2026-04-30T04:36:50.726872
EMP-00181,Sean,Rose,scottjones@wood.com,Shipping Clerk,WH-EAS-03,NIGHT,2022-05-02,33.0,True,2026-04-30T04:36:50.726872
EMP-00182,Raymond,Gibson,mbarajas@ballard-douglas.com,Warehouse Associate,WH-NOR-04,NIGHT,2021-06-02,33.99,True,2026-04-30T04:36:50.726872
EMP-00183,Jennifer,Anderson,dmendoza@lawrence.com,QA Inspector,WH-EAS-06,NIGHT,2023-02-13,20.47,True,2026-04-30T04:36:50.726872
EMP-00184,Kimberly,Aguilar,lambanthony@torres.com,Warehouse Associate,WH-NOR-05,NIGHT,2024-11-25,31.01,False,2026-04-30T04:36:50.726872
EMP-00185,Janet,Ware,rachel38@rice.biz,Warehouse Associate,WH-CEN-08,MORNING,2025-03-09,17.71,True,2026-04-30T04:36:50.726872
EMP-00186,Joshua,Martinez,rhughes@meyer.org,Packer,WH-EAS-03,AFTERNOON,2023-08-26,21.71,True,2026-04-30T04:36:50.726872
EMP-00187,Carrie,Smith,oholmes@durham.net,Packer,WH-EAS-03,MORNING,2026-03-21,32.65,True,2026-04-30T04:36:50.726872
EMP-00188,John,Silva,chelsea44@owens-lopez.com,QA Inspector,WH-EAS-01,NIGHT,2024-03-05,37.33,True,2026-04-30T04:36:50.726872
EMP-00189,Devin,Evans,jessica78@brown-guzman.com,Dock Supervisor,WH-CEN-08,NIGHT,2024-03-28,37.39,True,2026-04-30T04:36:50.726872
EMP-00190,Margaret,Martin,dramirez@stewart-davis.org,Dock Supervisor,WH-WES-07,AFTERNOON,2022-06-01,32.15,True,2026-04-30T04:36:50.726872
EMP-00191,Cheryl,Huynh,pyates@payne-jarvis.com,Dock Supervisor,WH-EAS-06,NIGHT,2022-04-08,34.64,True,2026-04-30T04:36:50.726872
EMP-00192,Lee,Mills,loweandrew@lucas.com,Receiving Clerk,WH-CEN-10,NIGHT,2024-04-27,37.95,True,2026-04-30T04:36:50.726872
EMP-00193,Michael,Rodriguez,maryburke@galloway.info,Dock Supervisor,WH-NOR-05,AFTERNOON,2025-07-13,32.8,True,2026-04-30T04:36:50.726872
EMP-00194,Sarah,Cooke,tholt@patrick.info,Forklift Operator,WH-EAS-02,NIGHT,2024-06-05,16.53,True,2026-04-30T04:36:50.726872
EMP-00195,Carlos,Powell,crussell@hubbard.com,Warehouse Associate,WH-EAS-01,NIGHT,2022-04-02,29.27,False,2026-04-30T04:36:50.726872
EMP-00196,Kathy,Long,allensheena@garner.com,Warehouse Associate,WH-EAS-01,MORNING,2022-11-26,26.98,True,2026-04-30T04:36:50.726872
EMP-00197,Gail,Mendez,nturner@powell-diaz.com,QA Inspector,WH-SOU-09,NIGHT,2025-02-23,25.46,True,2026-04-30T04:36:50.726872
EMP-00198,Tom,Johnson,jeffrey44@montoya.com,Dock Supervisor,WH-CEN-10,MORNING,2022-10-08,20.03,True,2026-04-30T04:36:50.726872
EMP-00199,Dakota,Rodriguez,djames@pearson.net,Picker,WH-CEN-10,NIGHT,2025-07-25,21.54,True,2026-04-30T04:36:50.726872
EMP-00200,John,Scott,amandastark@lawrence.biz,Forklift Operator,WH-WES-07,AFTERNOON,2023-01-22,32.03,True,2026-04-30T04:36:50.726872
